"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"Biobase","Biobase","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.56.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"BiocFileCache","BiocFileCache","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.4.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"BiocGenerics","BiocGenerics","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.42.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"BiocManager","BiocManager","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.30.18",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"BiocNeighbors","BiocNeighbors","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.14.0",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"BiocParallel","BiocParallel","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.30.4",NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"BiocSingular","BiocSingular","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.12.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"BiocVersion","BiocVersion","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.15.2",NA,"R (>= 4.2.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"Biostrings","Biostrings","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.64.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.30.1), XVector (>= 0.29.2),
GenomeInfoDb","methods, utils, grDevices, graphics, stats, crayon","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"bit","bit","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"bit64","bit64","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"bitops","bitops","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"blob","blob","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.2.3",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"boot","boot","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.2"
"brew","brew","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0-8",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"brio","brio","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"broom","broom","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0.1",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0), ggplot2",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc,
irlba, interp, joineRML, Kendall, knitr, ks, Lahman, lavaan,
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, maptools, margins, MASS, mclust, mediation,
metafor, mfx, mgcv, mlogit, modeldata, modeltests, muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"bslib","bslib","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.4.0",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, cachem, memoise",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"cachem","cachem","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"callr","callr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.7.2",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"cli (>= 1.1.0), covr, mockery, ps, rprojroot, spelling,
testthat (>= 3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"car","car","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.1-1",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.93.960), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"carData","carData","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"caret","caret","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","6.0-93",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"caTools","caTools","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"celldex","celldex","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.6.0",NA,"SummarizedExperiment","utils, ExperimentHub, AnnotationHub, AnnotationDbi, S4Vectors,
DelayedArray, DelayedMatrixStats",NA,"testthat, knitr, rmarkdown, BiocStyle, DT",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"cellranger","cellranger","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"class","class","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","7.3-20","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"cli","cli","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.4.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, digest, glue (>= 1.6.0), grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"clipr","clipr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"clisymbols","clisymbols","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"clock","clock","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.6.1",NA,"R (>= 3.4)","rlang (>= 1.0.4), tzdb (>= 0.3.0), vctrs (>= 0.4.1)","cpp11 (>= 0.4.2), tzdb (>= 0.3.0)","covr, knitr, magrittr, pillar, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"cluster","cluster","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"codetools","codetools","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.1"
"colorspace","colorspace","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.0-3",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"commonmark","commonmark","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.8.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"compiler","compiler","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,NA,NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"conquer","conquer","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.3.1",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"corrplot","corrplot","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"covr","covr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.6.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"cowplot","cowplot","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"cpp11","cpp11","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.4.3",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"crayon","crayon","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"credentials","credentials","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"crosstalk","crosstalk","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"curl","curl","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.3.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"cyclocomp","cyclocomp","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1.0",NA,NA,"callr, crayon, desc, remotes, withr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"data.table","data.table","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.14.6",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"datasets","datasets","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,NA,NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"DBI","DBI","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1.3",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"dbplyr","dbplyr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.2.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), cli (>= 3.3.0), DBI
(>= 1.0.0), dplyr (>= 1.0.9), glue (>= 1.2.0), lifecycle (>=
1.0.0), magrittr, methods, pillar (>= 1.5.0), purrr (>= 0.2.5),
R6 (>= 2.2.2), rlang (>= 1.0.0), tibble (>= 1.4.2), tidyselect
(>= 0.2.4), utils, vctrs (>= 0.4.1), withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr (>= 1.2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"DelayedArray","DelayedArray","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.22.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.37.0), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"DelayedMatrixStats","DelayedMatrixStats","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.18.2",NA,"MatrixGenerics (>= 1.5.3), DelayedArray (>= 0.17.6)","methods, matrixStats (>= 0.60.0), sparseMatrixStats, Matrix
(>= 1.5-0), S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem, HDF5Array",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"deldir","deldir","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"desc","desc","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.4.2",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"DESeq2","DESeq2","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.36.0",NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, stats4, locfit, geneplotter, ggplot2, Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10), glmGamPoi, BiocManager",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.1"
"devtools","devtools","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"diffobj","diffobj","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"digest","digest","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.6.30",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
